route,performance_proxy,technical_seo,aeo,geo,html_gzip_kb,js_gzip_kb,css_gzip_kb,dom_nodes,estimated_requests,title,notes
"/","85","94","90","88","18.8","181.5","74.2","1600","98","Food Ingredients Supplier in Chennai | Vikranth Chemical","CSS budget exceeded; No freshness signal"
"/404","100","87","33","49","3.7","144.3","30.5","53","9","404: This page could not be found.","No FAQ schema; No freshness signal"
"/404/","100","87","33","49","3.7","144.3","30.5","53","9","404: This page could not be found.","No FAQ schema; No freshness signal"
"/about/","90","100","100","88","15","219.7","75.3","1021","64","About Vikranth | Food Ingredient Supplier in Chennai","JS budget exceeded; CSS budget exceeded; No freshness signal"
"/associates/","84","100","95","88","19.1","217.5","73.8","1027","61","Food Ingredient Manufacturers &amp; Suppliers | Vikranth","JS budget exceeded; CSS budget exceeded; No freshness signal"
"/associates/anchor/","92","100","100","88","21.9","203.1","76.8","1041","57","Anchor Food Ingredients Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/calpro-specialities-pvt-ltd/","90","100","93","88","20.2","203.1","76.8","1001","65","Calpro Ingredients Supplier Chennai &amp; India | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/campco/","90","100","100","88","21.5","203.1","76.8","1012","57","CAMPCO Cocoa Supplier in Chennai &amp; India | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/cp-kelco/","90","100","100","88","19.6","203.1","76.8","950","60","CP Kelco Hydrocolloid Supplier Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/delta-nutritives/","87","100","100","100","58.5","203.1","76.8","1562","69","Delta Nutritives Supplier Chennai &amp; India | Vikranth","HTML budget exceeded; CSS budget exceeded; No freshness signal"
"/associates/delta-nutritives/mec3/almond/","93","100","100","94","14.9","169.5","68.7","837","47","Almond - MEC3 Products | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/delta-nutritives/mec3/base-for-alcohol-gelato/","93","100","100","94","15","169.5","68.7","836","47","Base for Alcohol Gelato - MEC3 Products | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/delta-nutritives/mec3/base-for-fruit-gelato/","93","100","100","100","15.6","169.5","68.7","861","47","Base for Fruit Gelato - MEC3 Products | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/delta-nutritives/mec3/base-for-milk-gelato/","93","100","100","100","15.6","169.5","68.7","861","47","Base for Milk Gelato - MEC3 Products | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/delta-nutritives/mec3/chocolate-products/","93","100","100","100","15.6","169.5","68.7","861","47","Chocolate Products - MEC3 Products | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/delta-nutritives/mec3/concentrated-fruit-pastes/","93","100","100","100","17.2","169.5","68.7","979","47","Concentrated Fruit Pastes - MEC3 Products | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/delta-nutritives/mec3/cookies-range/","93","100","100","100","15.6","169.5","68.7","867","47","Cookies Range - MEC3 Products | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/delta-nutritives/mec3/copertura-chocolate-dips/","93","100","100","100","16","169.5","68.7","873","47","Copertura Chocolate Dips - MEC3 Products | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/delta-nutritives/mec3/flavours-premium-milk-ice-cream/","93","100","100","100","16","169.5","68.7","873","47","Flavours for Premium Milk Ice Cream - MEC3 Products | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/delta-nutritives/mec3/granfrutta-range/","93","100","100","100","16.4","169.5","68.7","895","47","Granfrutta Range - MEC3 Products | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/delta-nutritives/mec3/healthy-range/","93","100","100","100","15.7","169.5","68.7","861","47","Healthy Range - MEC3 Products | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/delta-nutritives/mec3/other-flavours/","93","100","100","100","16.5","169.5","68.7","910","47","Other Flavours - MEC3 Products | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/delta-nutritives/mec3/pistachio/","93","100","100","100","15.6","169.5","68.7","861","47","Pistachio - MEC3 Products | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/delta-nutritives/mec3/powder-products/","93","100","100","100","15.7","169.5","68.7","867","47","Powder Products - MEC3 Products | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/delta-nutritives/mec3/quella/","93","100","100","100","16.7","169.5","68.7","936","47","Quella - MEC3 Products | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/delta-nutritives/mec3/toppings-variegato/","93","100","100","100","16.6","169.5","68.7","910","47","Toppings (Variegato) - MEC3 Products | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/delta-nutritives/mec3/vanilla/","93","100","100","94","15.2","169.5","68.7","843","47","Vanilla - MEC3 Products | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/doehler/","90","94","100","88","19","203.1","76.8","923","57","Döhler Ingredients Supplier Chennai &amp; India | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/fine-organics/","90","100","100","88","19.6","203.1","76.8","955","61","Fine Organics Emulsifier Supplier Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/gujarat-ambuja-exports-ltd/","90","100","93","88","19.1","203.1","76.8","926","58","Gujarat Ambuja Ingredients Supplier Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/nitta-gelatin-india-ltd/","90","100","93","88","19.4","203.1","76.8","944","60","Nitta Gelatin Supplier Chennai &amp; India | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/paramesu-biotech-ltd/","90","100","93","88","19.6","203.1","76.8","955","61","Paramesu Maize Starch Supplier Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/roquette/","90","100","100","88","20","203.1","76.8","991","64","Roquette Ingredients Supplier Chennai &amp; India | Vikranth","CSS budget exceeded; No freshness signal"
"/associates/shree-gluco-biotech-pvt-ltd/","90","100","93","88","19.6","203.1","76.8","955","61","Shree Gluco Ingredients Supplier Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/brochure/","94","100","100","88","16.4","186.1","75.3","921","48","Food Ingredient Product Brochure | Vikranth Chennai","CSS budget exceeded; No freshness signal"
"/contact/","89","100","100","88","17.6","215.2","90.5","964","53","Contact Food Ingredients Supplier Chennai | Vikranth","JS budget exceeded; CSS budget exceeded; No freshness signal"
"/faq/","100","96","95","78","5.4","144.3","30.5","108","9","Food Ingredient Supply FAQs | Vikranth","No freshness signal"
"/industries/","81","100","100","88","17.4","169.7","68.7","959","60","Food Ingredient Industries We Supply | Vikranth Chennai","CSS budget exceeded; No freshness signal"
"/industries/bakery-ingredients/","82","100","100","88","28.7","176","68.7","1136","57","Bakery Ingredients Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/industries/beverage-ingredients/","85","100","100","88","22.3","176","68.7","1047","52","Beverage Ingredients Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/industries/chocolate-confectionery/","83","100","100","88","28.9","176","68.7","1079","55","Chocolate Ingredients Supplier Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/industries/dairy-ingredients/","85","100","100","88","21.7","176","68.7","1022","52","Dairy Ingredients Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/industries/food-additives-preservatives/","85","100","100","88","22.6","176","68.7","1038","52","Food Additives Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/industries/fruit-processing/","84","100","100","88","24.8","176","68.7","1051","54","Fruit Processing Ingredients Supplier Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/industries/functional-ingredients/","82","100","100","88","22.8","176","68.7","1049","56","Functional Food Ingredients Supplier Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/industries/hydrocolloids-stabilizers/","85","100","100","88","19.7","176","68.7","994","52","Hydrocolloid &amp; Stabilizer Supplier Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/industries/ice-cream-ingredients/","85","100","100","88","35.8","176","68.7","1033","53","Ice Cream Ingredients Supplier Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/industries/nutraceutical-pharma/","85","100","100","88","20.4","176","68.7","995","52","Nutraceutical Ingredients Supplier Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/industries/sweeteners-syrups-starches/","83","100","100","88","21.1","176","68.7","1044","55","Sweetener, Syrup &amp; Starch Supplier Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/privacy/","96","100","63","88","13.9","169.9","68.7","784","45","Privacy Policy | Vikranth Chemical Corporation","CSS budget exceeded; No FAQ schema"
"/products/","73","100","100","88","22.1","230.1","71.3","1863","141","Food Ingredient Products in Chennai &amp; India | Vikranth","JS budget exceeded; CSS budget exceeded; No freshness signal"
"/products/acai-puree/","92","100","100","88","18.8","169.5","68.7","932","47","Acai Puree Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/acesulfame-k/","92","100","100","88","18.9","169.5","68.7","929","47","Acesulfame K Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/acetic-acid/","92","100","100","88","18.9","169.5","68.7","929","47","Acetic Acid Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
